N	PARCELA	POSICAO	X	Y	ESPECIE	Cacho1	S1	S2	S3	S4	Smean	D	Copa
1812	L51500	E	1.04	1.15	Ga	12	3	1	4	4	3	2	3
1811	L51500	D	5.2	11.34	Aa	66	3	2	2	2	2.25	2	3
1815	L51500	E	9.27	14.35	Om	151	0	1	2	3	1.5	3	2
1824	L51500	E	12.9	9	Aa	72	2	2	2	2	2	4	2
1819	L51500	D	15.25	11.48	Is	22	3	2	2	0	1.75	2	3
1831	L51500	D	34.3	9.9	Is	84	1	2	2	0	1.25	2	3
1832	L51500	D	35	6.56	Aa	61	1	1	2	2	1.5	3	3
1832	L51500	D	35.3	6.56	Aa	52	0	2	2	4	2	2	3
1840	L51500	D	52	9.6	Is	18	1	4	4	8	4.25	3	2
1914	L51500	E	163.75	7.9	Aa	98	1	0	4	0	1.25	2	4
1942	L51500	D	220.62	15.65	Is	127	2	0	0	0	0.5	1	3
1946	L52500	D	0	13.12	Om	147	0	0	2	2	1	1	2
39443	L52500	E	37.47	6.31	Ep	608	1	0	2	0	0.75	5	5
1959	L52500	D	51.18	15.78	Is	53	4	5	3	4	4	1	3
1967	L52500	D	56.95	13.85	Is	78	1	2	2	2	1.75	4	2
1976	L52500	E	60.8	0.53	Is	163	2	2	1	3	2	1	3
1980	L52500	D	75.1	0.2	Is	164	0	2	0	1	0.75	3	3
1982	L52500	E	75.2	0.8	Is	216	2	0	2	0	1	3	3
1999	L52500	E	104.9	11.75	Is	5	0	2	2	3	1.75	3	3
2005	L52500	E	110	11	Obc	1452	2	0	1	1	1	4	5
2010	L52500	D	133	4.45	Is	5	0	2	4	3	2.25	2	3
2028	L52500	E	162.76	3.4	Is	12	2	0	4	2	2	3	2
2029	L52500	E	164.3	14.25	Is	16	1	4	2	0	1.75	3	2
2036	L52500	E	200	14.35	Is	131	1	3	2	0	1.5	2	4
2039	L52500	E	210	14.9	Om	201	6	2	2	4	3.5	2	4
2040	L52500	E	212.2	7.5	Se	45	4	2	1	4	2.75	1	5
2064	L53500	D	53	17.1	Aa	8	1	2	2	2	1.75	4	3
2067	L53500	E	60	5.98	Is	14	5	2	1	2	2.5	5	3
2093	L53500	E	107.3	7.1	Aa	68	6	0	2	5	3.25	3	2
2102	L53500	E	116.4	10.73	Om	141	0	3	2	0	1.25	0	4
2103	L53500	E	120	8	Aa	65	4	6	4	4	4.5	3	3
41571	L53500	D	136	10	Obc	2647	2	6	3	4	3.75	2	4
2184	L53500	D	234.85	17	Obc	1716	4	4	4	2	3.5	2	4
2197	L54500	E	4.64	4.7	Is	57	4	0	2	2	2	6	1
2194	L54500	D	9.5	11.13	Is	10	1	2	5	4	3	7	2
2208	L54500	D	51.2	10.82	Is	191	2	2	2	2	2	6	3
2209	L54500	D	59	4.6	Is	22	0	3	6	2	2.75	7	3
2219	L54500	E	82.05	15.4	Is	121	2	2	0	0	1	3	3
2226	L54500	E	92.6	12.4	Om	216	4	2	0	4	2.5	3	4
2228	L54500	E	97.55	19	Aa	72	2	2	3	2	2.25	4	2
2229	L54500	E	97.7	12.2	Aa	56	2	3	4	4	3.25	2	4
2233	L54500	D	109.99	7.6	Is	3	8	1	2	6	4.25	4	3
2259	L54500	E	154.3	11.9	Is	107	0	1	2	0	0.75	5	1
40415	L54500	D	215	3	Is	45	0	0	0	0	0	1	3
2295	L54500	E	217	14.95	Aa	13	1	2	0	1	1	8	2
2309	L54500	D	237.55	8	Is	28	1	1	0	1	0.75	4	3
1219	L60500	D	206	17.2	Ob	772	3	3	2	1	2.25	3	5
1247	L61500	D	44	7.38	Is	16	2	6	3	5	4	5	1
1249	L61500	D	74.72	11.35	Ob	169	4	3	3	6	4	2	5
1256	L61500	D	90.6	3.72	Is	17	2	1	2	5	2.5	3	1
1264	L61500	E	108.3	4.65	Is	22	0	0	6	1	1.75	0	2
1268	L61500	E	114.7	3.3	Is	2	1	2	6	1	2.5	2	2
1278	L61500	D	194.3	18.2	Ob	672	0	4	3	5	3	2	5
21480	L61500	D	236.39	9.3	Ep	549	7	4	6	0	4.25	4	4
1284	L61500	E	252.3	15.06	Om	17	6	12	0	4	5.5	2	2
1297	L62500	E	12.29	8.68	Am	140	1	2	1	8	3	2	3
1322	L62500	D	49.63	9.84	Is	167	4	2	8	12	6.5	2	2
1356	L62500	E	165.2	10.82	Am	168	5	7	4	6	5.5	3	4
1358	L62500	E	170.32	20	Am	84	4	4	5	6	4.75	5	1
15548	L62500	E	234.05	8.66	Ob	357	10	3	2	8	5.75	3	4
1451	L63500	E	34.7	15.97	Om	6	2	4	1	2	2.25	4	2
19269	L63500	D	37.72	8.59	Obc	3373	2	4	2	2	2.5	3	4
1457	L63500	D	44.4	18.77	Is	93	2	3	3	2	2.5	6	3
1467	L63500	D	62.31	12.37	Is	37	3	5	3	0	2.75	6	2
1470	L63500	D	65.32	10.27	Is	178	2	1	2	3	2	6	2
1473	L63500	E	65.71	14.72	Is	173	2	0	1	2	1.25	3	3
1481	L63500	E	81.9	1.45	Ga	11	0	0	2	0	0.5	0	2
1488	L63500	D	96.12	15.38	Obc	2208	2	1	2	4	2.25	5	4
16102	L63500	E	161.82	1.7	Obc	629	4	4	5	5	4.5	1	5
16436	L63500	E	162.69	9.58	Obc	6840	6	2	2	0	2.5	0	5
1535	L63500	E	168	14	Obc	3709	2	1	2	1	1.5	3	5
1569	L64500	E	1.23	0.45	Is	38	1	3	1	3	2	3	2
1587	L64500	D	38.16	8.2	Is	171	3	1	2	1	1.75	4	3
1621	L64500	E	109.32	16.23	Om	5	1	2	1	6	2.5	4	3
1624	L64500	E	115.38	6.17	Is	52	5	9	3	8	6.25	2	3
1628	L64500	D	120.43	1.14	Ga	13	0	14	4	2	5	4	1
1633	L64500	E	126.47	3.8	Ga	11	6	2	7	2	4.25	2	1
1639	L64500	D	143.6	10.36	Om	35	2	4	4	3	3.25	4	2
1647	L64500	E	160.3	9.98	Is	119	3	2	3	1	2.25	3	2
